post_time,price,title,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,delivery available,cryptocurrency ok
2020-01-23T13:51:43-0800,$8499,2007 toyota prius,JTDKB20U577548420,excellent,4 cylinders,fwd,gas,80409,white,compact,clean,automatic,hatchback,,
2020-01-23T13:50:56-0800,$13950,2017 Nissan Altima,231091,excellent,4 cylinders,fwd,gas,42028,black,full-size,clean,automatic,sedan,,
2020-01-23T13:50:15-0800,$7995,2008 Toyota Yaris,,,,,gas,,,,clean,automatic,,,
2020-01-23T13:50:04-0800,$34800,2017 lexus nx,JTJBJRBZ0H2054644,,,,other,,,,clean,other,,,
2020-01-23T13:50:04-0800,$4995,1992 chevy c3500 crew cab,,good,8 cylinders,rwd,gas,165000,red,full-size,clean,automatic,pickup,,
2020-01-23T13:49:45-0800,$1700,2002 BMW,,,,,gas,,,,clean,automatic,,,
2020-01-23T13:49:03-0800,$8300,2012 bmw 328i,,excellent,4 cylinders,rwd,gas,129000,grey,mid-size,clean,manual,sedan,,
2020-01-23T13:48:36-0800,$2500,2008 nissan altima,,fair,,,gas,,,,clean,automatic,,,
2020-01-23T13:45:24-0800,$14900,2013 Audi A4,WAUEFAFL4DN035660,excellent,4 cylinders,fwd,gas,38070,grey,,clean,automatic,sedan,,
2020-01-23T13:45:01-0800,$3000,2007 infiniti m35,,good,,,gas,,,,clean,automatic,,,
2020-01-23T13:44:33-0800,$1800,2006 Mazda 3,,fair,4 cylinders,fwd,gas,147000,grey,,clean,manual,sedan,,
2020-01-23T13:43:42-0800,$2700,2004 mazda 6,,,,,gas,,,,clean,automatic,,,
2020-01-23T13:42:01-0800,$38888,2019 CHEVROLET SUBURBAN,1GNSKHKC6KR118102,,,4wd,gas,50230,silver,,clean,automatic,SUV,,
2020-01-23T13:41:31-0800,$35000,2016 lexus rx 350,,excellent,6 cylinders,4wd,gas,20821,grey,full-size,clean,automatic,SUV,,
2020-01-23T13:40:59-0800,$26488,2017 ACURA MDX,5FRYD4H58HB014383,,,4wd,gas,79338,white,,clean,automatic,SUV,,
2020-01-23T13:40:31-0800,,2019 chrysler pacifica,2C4RC1BG0KR708305,new,6 cylinders,fwd,gas,39,white,mid-size,clean,automatic,mini-van,,
2020-01-23T13:40:20-0800,$3800,2002 gmc yukon xl denali,,,,,gas,,,,clean,automatic,,,
2020-01-23T13:39:59-0800,$11950,2016 Kia Sportage,864031,excellent,4 cylinders,4wd,gas,61639,black,full-size,clean,automatic,SUV,,
2020-01-23T13:38:24-0800,$15988,2016 HONDA HR-V,3CZRU5G33GM729426,,,fwd,gas,27562,,,clean,manual,SUV,,
2020-01-23T13:38:16-0800,$13500,2014 Mazda Mazda3,JM1BM1W36E1203688,excellent,4 cylinders,fwd,gas,80328,white,compact,clean,automatic,sedan,,
2020-01-23T13:38:09-0800,$17988,2011 LEXUS RX,2T2BK1BA8BC082711,,,4wd,gas,81152,blue,,clean,automatic,wagon,,
2020-01-23T13:37:55-0800,$13988,2008 FORD F-150,1FTPW145X8KB81763,,,4wd,gas,151955,,,clean,automatic,pickup,,
2020-01-23T13:37:48-0800,$7402,2014 Chevrolet Impala Limited,2G1WB5E35E1126766,excellent,6 cylinders,fwd,gas,93570,white,,clean,automatic,sedan,,
2020-01-23T13:37:43-0800,$15988,2012 BMW 335I,WBAKF9C50CE620807,,,,gas,58341,white,compact,clean,automatic,coupe,,
2020-01-23T13:37:27-0800,$21988,2011 TOYOTA FJ CRUISER,JTEBU4BF0BK101354,,,4wd,gas,128526,,,clean,automatic,wagon,,
2020-01-23T13:37:18-0800,$9988,2012 HONDA CR-V,JHLRM4H5XCC028820,,,4wd,gas,165660,silver,,clean,automatic,SUV,,
2020-01-23T13:37:02-0800,$15988,2012 NISSAN TITAN,1N6AA0EJ5CN318803,,,4wd,gas,106149,,,clean,automatic,pickup,,
2020-01-23T13:36:50-0800,$32988,2019 FORD TRANSIT,1FTYR3XM6KKA05259,,,,gas,17854,white,,clean,automatic,van,,
2020-01-23T13:35:43-0800,$4900,2010 impala,,,,,gas,,,,clean,automatic,,,
2020-01-23T13:35:28-0800,$11950,2017 hyundai elantra,007582,excellent,4 cylinders,,gas,,red,,clean,automatic,sedan,,
2020-01-23T13:34:22-0800,$34500,2019 lexus ux,JTHU9JBH3K2001021,,,,other,,,,clean,other,,,
2020-01-23T13:33:46-0800,$800,2018 lexus is 300 F SPORT,,like new,4 cylinders,rwd,gas,,white,,clean,automatic,sedan,,
2020-01-23T13:32:32-0800,$1800,2006 2006 mazda 6,,fair,4 cylinders,fwd,gas,222800,grey,,clean,automatic,sedan,,
2020-01-23T13:32:27-0800,,2017 Jeep Renegade,ZACCJABB2HPE99730,excellent,4 cylinders,fwd,gas,54140,white,compact,clean,automatic,SUV,,
2020-01-23T13:30:54-0800,$12995,2010 LEXUS IS 250C,JTHFF2C22A2520274,,,,gas,65500,silver,,clean,automatic,other,,
2020-01-23T13:30:29-0800,,2019 Kia Forte,3KPF34AD8KE012854,excellent,4 cylinders,fwd,gas,9085,silver,mid-size,clean,automatic,sedan,,
2020-01-23T13:30:23-0800,$18888,2014 Volvo XC90,YV4952CY2E1692704,excellent,6 cylinders,fwd,gas,45527,black,,clean,automatic,SUV,,
2020-01-23T13:29:42-0800,$1500,2001 Kia sportage ex,,good,4 cylinders,,gas,190000,,,clean,other,,,
2020-01-23T13:28:57-0800,$3800,2006 mazda 3,JM1BK324161426786,excellent,4 cylinders,fwd,gas,1103137,red,full-size,clean,automatic,sedan,,
2020-01-23T13:26:12-0800,$3500,1999 ford f250 diesel,,,8 cylinders,,diesel,,,,clean,automatic,,,
2020-01-23T13:22:33-0800,$5499,2007 nissan murano,,like new,6 cylinders,4wd,gas,102000,white,,clean,automatic,SUV,,
2020-01-23T13:20:48-0800,,2019 Dodge Grand caravan,2C4RDGCG1KR561992,new,6 cylinders,fwd,gas,22723,white,mid-size,clean,automatic,mini-van,,
2020-01-23T13:18:42-0800,$33800,2018 lexus nx,JTJBARBZ6J2154561,,,,gas,,,,clean,automatic,,,
2020-01-23T13:18:22-0800,,2019 Toyota Sienna LE,5TDKZ3DC5KS014366,new,6 cylinders,fwd,gas,117,silver,mid-size,clean,automatic,mini-van,,
2020-01-23T13:16:46-0800,$4000,2012 hyundai elantra gls,,,,,gas,,,,clean,automatic,,,
2020-01-23T13:15:29-0800,$29900,2015 Subaru WRX STI,JF1VA2W6XF9805220,excellent,4 cylinders,4wd,gas,27933,,,clean,manual,sedan,,
2020-01-23T13:15:20-0800,$25999,2017 Ford Mustang,1FA6P8CF0H5244210,excellent,,rwd,gas,46246,black,mid-size,clean,other,coupe,,
2020-01-23T13:14:39-0800,,2015 dodge grand caravan,2C4RDGCG2FR623535,like new,6 cylinders,fwd,gas,12031,brown,mid-size,clean,automatic,mini-van,,
2020-01-23T13:14:18-0800,$4500,1984 chevy 3500,,good,8 cylinders,,gas,62000,,full-size,clean,automatic,truck,,
2020-01-23T13:11:14-0800,$12950,2008 Ford E350 XLT Super Duty,1FBNE31L88DA93621,excellent,8 cylinders,rwd,gas,62798,silver,full-size,clean,automatic,van,,
2020-01-23T13:10:25-0800,$19800,2000 Ford Lightning F-150,,excellent,8 cylinders,rwd,gas,75000,silver,full-size,clean,automatic,truck,,
2020-01-23T13:08:25-0800,,2006 Ford Econoline,1FDNE24L46HA80528,excellent,8 cylinders,rwd,gas,9590,blue,full-size,clean,automatic,mini-van,,
2020-01-23T13:06:56-0800,$1200,2002 Chrysler concoede,,,,,gas,,,,salvage,automatic,,,
2020-01-23T13:06:21-0800,$14980,2011 DODGE RAM,3D7JB1EK7BG597540,,,fwd,gas,50594,silver,,clean,automatic,pickup,,
2020-01-23T13:05:59-0800,$6800,2007 Honda civic,,excellent,4 cylinders,fwd,gas,69880,silver,,clean,manual,sedan,,
2020-01-23T13:06:06-0800,$24980,2018 GMC SIERRA,1GTN1LEC8JZ905235,,,fwd,gas,6311,white,,clean,automatic,pickup,,
2020-01-23T13:05:46-0800,$9995,2008 TOYOTA SIENNA,5TDBK22C78S012449,,,4wd,gas,138739,red,,clean,automatic,wagon,,
2020-01-23T13:05:34-0800,$27980,2013 CHEVROLET SILVERADO,1GC4KZCG9DF231037,,,4wd,gas,65656,silver,,clean,automatic,pickup,,
2020-01-23T13:05:15-0800,,2006 Toyota Sienna XLE,5TDZA22CX6S407515,excellent,6 cylinders,fwd,gas,79050,blue,mid-size,clean,automatic,mini-van,,
2020-01-23T13:04:54-0800,$3900,2002 mercedes-benz s-class,,excellent,8 cylinders,rwd,gas,88,blue,compact,clean,automatic,sedan,,
2020-01-23T13:04:24-0800,$6700,2006 Honda crv,,excellent,4 cylinders,fwd,gas,83889,,,clean,automatic,SUV,,
2020-01-23T13:04:08-0800,$45000,2016 Freightliner M2 106,,,,,diesel,167762,white,,clean,other,other,,
2020-01-23T13:03:37-0800,$4499,2005 nissan murano,,,6 cylinders,4wd,gas,140000,silver,full-size,clean,automatic,SUV,,
2020-01-23T13:03:05-0800,$8400,2006 dodge ram 1500 big horn,,,,,gas,100000,,,clean,automatic,,,
2020-01-23T13:02:47-0800,$33700,2019 toyota highlander,5TDKZRFH0KS308205,,,,gas,,,,clean,automatic,,,
2020-01-23T13:01:16-0800,$6600,2007 Acura tl,,excellent,6 cylinders,fwd,gas,119458,blue,,clean,automatic,sedan,,
2020-01-23T13:01:14-0800,$16488,2015 MERCEDES-BENZ C-CLASS,55SWF4KB9FU037961,,,,gas,100643,blue,compact,clean,automatic,sedan,,
2020-01-23T13:00:02-0800,$4500,2010 mazda 3,,,,,gas,,,,clean,automatic,,,
2020-01-23T12:59:40-0800,$7900,2005 2005 gmc sierra,,,,,gas,,,,clean,automatic,,,
2020-01-23T12:58:33-0800,$5000,2009 toyota camry,,excellent,4 cylinders,fwd,gas,163500,custom,full-size,salvage,automatic,sedan,,
2020-01-23T12:58:25-0800,$3777,2005 honda accord sedan,,excellent,4 cylinders,fwd,gas,,grey,,clean,automatic,,,
